iter	Passed	Remaining
0	0	51
1	1	57
2	1	54
3	2	48
4	2	50
5	3	48
6	3	47
7	3	45
8	4	44
9	4	43
10	5	42
11	5	41
12	6	44
13	7	43
14	7	42
15	8	43
16	8	42
17	9	43
18	10	44
19	11	44
20	11	43
21	12	42
22	12	42
23	13	42
24	13	41
25	14	41
26	15	40
27	15	39
28	16	39
29	16	39
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	21	31
41	22	30
42	22	29
43	23	29
44	23	28
45	23	28
46	24	27
47	24	27
48	25	26
49	26	26
50	26	25
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	29	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
